Oficina Contable, Órgano Gestor, Unidad Tramitadora
SEPES - Entidad Pública Empresarial de Suelo - EA0000845,SEPES - Entidad Pública Empresarial de Suelo - EA0000845,SEPES - Entidad Pública Empresarial de Suelo - EA0000845
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,MINETUR - S.G. DE PLANIFICACION Y GESTION DE RECURSOS HUMANOS - E04854202
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,MINETUR - S.G. DE TECNOLOGIAS DE LA INFORMACION Y DE LAS COMUNICACIONES - E04638302
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,S.G. DE OFICIALIA MAYOR Y ADMINISTRACION FINANCIERA - E04623002
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,S.G. DE DESARROLLO NORMATIVO, INFORMES Y PUBLICACIONES - E04854303
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,GABINETE DEL SECRETARIO DE ESTADO - E04926401
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,S. DE E. DE TURISMO - E04926901
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04921601,SG DE OFICIALIA MAYOR Y ADMINISTRACIÓN FINANCIERA. CAJA PAGADORA - EA0003266
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,S. DE E. DE TELECOMUNICACIONES Y PARA LA SOCIEDAD DE LA INFORMACION - E04926601,S.G. DE COORDINACION Y EJECUCION DE PROGRAMAS - E04903203
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,S.GRAL. DE INDUSTRIA Y DE LA PEQUENA Y MEDIANA EMPRESA - E04934401,D.G. DE INDUSTRIA Y DE LA PEQUENA Y MEDIANA EMPRESA - E04934601
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,D.G. DE INDUSTRIA Y DE LA PEQUENA Y MEDIANA EMPRESA - E04934601,D.G. DE INDUSTRIA Y DE LA PEQUENA Y MEDIANA EMPRESA - E04934601
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,D.G. DE TELECOMUNICACIONES Y TECNOLOGIAS DE LA INFORMACION - E04796203,S.G. DE COORDINACION Y EJECUCION DE PROGRAMAS - E04903203
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,D.G. DE POLITICA ENERGETICA Y MINAS - E00119404,D.G. DE POLITICA ENERGETICA Y MINAS - E00119404
I.D. MINISTERIO DE INDUSTRIA, ENERGIA Y TURISMO - E04637003,S.G. DE DESARROLLO NORMATIVO, INFORMES Y PUBLICACIONES - E04854303,S.G. DE DESARROLLO NORMATIVO, INFORMES Y PUBLICACIONES - E04854303
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,INTERVENCION GENERAL DE LA ADMINISTRACION DEL ESTADO - E00127403,S.G. DE EXPLOTACION - E03062503
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,INTERVENCION GENERAL DE LA ADMINISTRACION DEL ESTADO - E00127403,S.G. ORGANIZACION, PLANIFICACION Y GESTION DE RECURSOS. CONTRATACION - EA0003151
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,INTERVENCION GENERAL DE LA ADMINISTRACION DEL ESTADO - E00127403,S.G. ORGANIZACION, PLANIFICACION Y GESTION DE RECURSOS. PAGOS - EA0003152
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,OFICIALIA MAYOR - UNIDAD DE PAGOS EN FIRME - EA0002993
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,CAJA PAGADORA SUBSECRETARÍA ALCALÁ - EA0002992
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,S.G. DE RECURSOS HUMANOS - E03055907
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,S.G. DE INFORMACION, DOCUMENTACION Y PUBLICACIONES - E04072803
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,S.G. DE SERVICIOS Y COORDINACION TERRITORIAL - E04913203
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,SUBSECRETARIA DE HACIENDA Y ADMINISTRACIONES PUBLICAS - E04929001,SECRETARIA GENERAL TECNICA - E04935201
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE RACIONALIZACION Y CENTRALIZACION DE LA CONTRATACION - E04962701,S.G. DE ADMINISTRACION FINANCIERA Y PRESUPUESTARIA DE CONTRATACION CENTRALIZADA - E04963201
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DEL PATRIMONIO DEL ESTADO - E00126603,SECRETARIA GENERAL - E03059303
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DEL PATRIMONIO DEL ESTADO - E00126603,S.G. DE COORDINACION DE EDIFICACIONES ADMINISTRATIVAS - E03059503
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE TRIBUTOS - E00127003,S.G. DE POLITICA TRIBUTARIA - E03057503
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DEL CATASTRO - E00127103,EXPEDIENTES DE LA D.G. DEL CATASTRO - EA0002883
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DEL CATASTRO - E00127103,CAJA FIJA DE LA D.G. DEL CATASTRO - EA0002884
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,TRIBUNAL ECONOMICO ADMINISTRATIVO CENTRAL - E00127203,S.G. DE ORGANIZACION MEDIOS Y PROCEDIMIENTOS - E03071603
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE PRESUPUESTOS - E00127503,S.G. DE ORGANIZACION PLANIFICACION Y GESTION DE RECURSOS - E03061103
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE COSTES DE PERSONAL Y PENSIONES PUBLICAS - E00127603,SECRETARIA GENERAL - E03069503
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE FONDOS COMUNITARIOS - E04596602,D.G. DE FONDOS COMUNITARIOS - E04596602
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,D.G. DE ORDENACION DEL JUEGO - E04912602,S.G. DE GESTION Y RELACIONES INSTITUCIONALES - E04913003
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,S. DE E. DE HACIENDA - E04924201,GABINETE DEL SECRETARIO DE ESTADO - E04924301
I.D. MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS (ÁREA DE HACIENDA) - EA0002720,PROGRAMAS EDUCATIVOS EUROPEOS - E04739904,PROGRAMAS EDUCATIVOS EUROPEOS - E04739904
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ASUNTOS GENERALES Y COORDINACION - E04941501,SERVICIO DE CONTRATACION  - EA0002932
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ASUNTOS GENERALES Y COORDINACION - E04941501,SERVICIO DE GESTION ECONOMICA - EA0002931
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ADMINISTRACION FINANCIERA DE LA ADMINISTRACION PERIFERICA - E02668607,S.G.A.F.A.P. CONTRATACIÓN SERVICIOS Y SUMINISTROS  - EA0002929
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ADMINISTRACION FINANCIERA DE LA ADMINISTRACION PERIFERICA - E02668607,S.G.A.F.A.P. CONTABILIDAD - EA0002928
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ADMINISTRACION FINANCIERA DE LA ADMINISTRACION PERIFERICA - E02668607,S.G.A.F.A.P. CONTRATACIÓN OBRAS - EA0002930
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S.G. DE ADMINISTRACION FINANCIERA DE LA ADMINISTRACION PERIFERICA - E02668607,S.G.A.F.A.P. CONTRATACIÓN CENTRALIZADA - EA0003002
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S. GRAL DE COORDINACION AUTONOMICA Y LOCAL - E04934801,S. GRAL DE COORDINACION AUTONOMICA Y LOCAL - E04934801
I.D.MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS (ÁREA DE ADMINISTRACIONES PÚBLICAS) - EA0002721,S. GRAL DE COORDINACION AUTONOMICA Y LOCAL - E04934801,SERVICIO DE GESTION ECONOMICA - EA0002931
DELEGACION PROVINCIAL DE ECONOMIA Y HACIENDA DE MADRID - INTERVENCION REGIONAL - E03078004,S.G. DE ADMINISTRACION FINANCIERA DE LA ADMINISTRACION PERIFERICA - E02668607,DEL.GOB. EN MADRID - E00107604
DELEGACION PROVINCIAL DE ECONOMIA Y HACIENDA DE MADRID - INTERVENCION REGIONAL - E03078004,COMANDANCIA DE MADRID - E03131204,COMANDANCIA DE MADRID - E03131204
DELEGACION PROVINCIAL DE ECONOMIA Y HACIENDA DE MADRID - INTERVENCION REGIONAL - E03078004,S.GRAL. DE INSTITUCIONES PENITENCIARIAS - E04796601,CENTRO PENITENCIARIO DE ARANJUEZ - E03120101
