AAREAL BANK AG	AARBESM1XXX
ABBEY NATIONAL BANK, S.A.E.	ABBKESM1XXX
ABN AMRO BANK N.V., S.E.	ABNAESMMXXX
ALLFUNDS BANK, S.A.	ALLFESMMXXX
ALLIED BANKING CORPORATION	ABCMESM1XXX
ALTAE BANCO, S.A.	AHCRESVVXXX
ARESBANK, S.A.	AREBESMMXXX
ARGENTARIA, CAJA POSTAL Y BANCO HIPOTECARIO, S.A.	BBVAESMMXXX
ASSOCIATES CAPITAL CORPORATION, PLC. S.E.	ASSCESM1XXX
ATTIJARIWAFA BANK	BCMAESM1XXX
BANCA CARIGE SPA-CASSA RISPARMIO GENOVA E IMPERIA	CRGEESM1XXX
BANCA CATALANA, S.A.	CATAESBBXXX
BANCA INTESA S.P.A., SUCURSAL EN ESPAÑA	BCITESMMXXX
BANCA JOVER, S.A.	JOVEESBBXXX
BANCA MARCH, S.A.	BMARES2MXXX
BANCA MONTE DEI PASCHI DI SIENA, S.P.A., S.E.	PASCESMMXXX
BANCA NAZIONALE DEL LAVORO, S.P.A., S.E.	BNLIESM1XXX
BANCA PUEYO, S.A.	BAPUES22XXX
BANCO ALCALA, S.A.	ALCLESMMXXX
BANCO BANIF, S.A.	NORTESMMXXX
BBVA BANCO BILBAO VIZCAYA ARGENTARIA, S.A.	BBVAESMMXXX
BANCO BPI, S.A., S.E.	BBPIESMMXXX
BANCO CAIXA GERAL, S.A.	CGDIESMMXXX
BANCO CAMINOS, S.A.	CCOCESMMXXX
BANCO CANARIAS DE VENEZUELA, CA	BOCAES21XXX
BANCO CENTRAL HISPANOAMERICANO, S.A.	CENTESMM
BANCO CETELEM, S.A.	FIEIESM1XXX
BANCO CONDAL, S.A.	BCNDESM1XXX
BANCO COOPERATIVO ESPAÑOL, S.A.	BCOEESMMXXX
BANCO DE ALICANTE, S.A.	BBVAESMMXXX
BANCO DE ANDALUCIA, S.A.	BANDESSSXXX
BANCO DE ASTURIAS, S.A.	ASTUESMMXXX
BANCO DE CASTILLA, S.A.	CASTES2SXXX
BANCO DE CREDITO AGRICOLA, S.A.	BCAEESMM
BANCO DE CREDITO BALEAR, S.A.	BALEES22XXX
BANCO DE CREDITO LOCAL DE ESPAÑA, S.A.	BCLEESMMXXX
