COD_BE,NOMBRE50,BIC,DESC_VARIACION
1255,AAREAL BANK AG,AARBESM1XXX,
1209,ALLIED BANKING CORPORATION,ABCMESM1XXX,
0156,"THE ROYAL BANK OF SCOTLAND PLC, S.E.",ABNAESMMXXX,
1196,BANCO DE LAS ACTIVIDADES ECONOMICAS EXTERIORES,AEEVESM1XXX,
1545,"CREDIT AGRICOLE LUXEMBOURG, S.E.",AGRIESMMXXX,
0099,"BANKIA BANCA PRIVADA, S.A.",AHCRESVVXXX,
0188,"BANCO ALCALA, S.A.",ALCLESMMXXX,
0011,"ALLFUNDS BANK, S.A.",ALLFESMMXXX,
1505,"EUROPE ARAB BANK PLC, S.E.",ARABESMMXXX,
0136,"ARESBANK, S.A.",AREBESMMXXX,
1462,"ASSOCIATES CAPITAL CORPORATION, PLC. S.E.",ASSCESM1XXX,
1544,"ANDBANK ESPAÑA, S.A.",BACAESMMXXX,
0125,"BANCOFAR, S.A.",BAOFESM1XXX,
0078,"BANCA PUEYO, S.A.",BAPUES22XXX,
0065,"BARCLAYS BANK, S.A.",BARCESMMXXX,
2095,"KUTXABANK, S.A",BASKES2BXXX,
0190,"BANCO BPI, S.A., S.E.",BBPIESMMXXX,
0168,"ING BELGIUM, S.A., S.E.",BBRUESMXXXX,
2107,"UNNIM BANC, S.A",BBVAESMM107,
0182,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BBVAESMMXXX,
1525,"BANQUE CHAABI DU MAROC, S.E.",BCDMESMMXXX,
1494,"INTESA SANPAOLO S.P.A., S.E.",BCITESMMXXX,
1233,ATTIJARIWAFA BANK,BCMAESM1XXX,
0021,"BANCO CONDAL, S.A.",BCNDESM1XXX,
3001,"CAJA R. DE ALMENDRALEJO, S.C.C.",BCOEESMM001,
3007,"CAJA R. DE GIJON, C.C",BCOEESMM007,
3008,"CAJA R. DE NAVARRA, S.C.C.",BCOEESMM008,
3009,"CAJA R. DE EXTREMADURA, S.C.C.",BCOEESMM009,
3016,"CAJA R. DE SALAMANCA, S.C.C.",BCOEESMM016,
3017,"CAJA R. DE SORIA, S.C.C.",BCOEESMM017,
3018,"CAJA R.R.S.AGUSTIN DE FUENTE ALAMO M., S.C.C.",BCOEESMM018,
3020,"CAJA R. DE UTRERA, S.C.A.C.",BCOEESMM020,
3023,"CAJA R. DE GRANADA, S.C.C.",BCOEESMM023,
3059,"CAJA R. DE ASTURIAS, S.C.C.",BCOEESMM059,
3063,"CAJA R. DE CORDOBA, S.C.C.",BCOEESMM063,
3067,"CAJA R. DE JAEN, BARCELONA Y MADRID, S.C.C.",BCOEESMM067,
3070,"CAIXA R. GALEGA, S.C.C.L.G.",BCOEESMM070,
3076,"CAJASIETE, CAJA RURAL, S.C.C.",BCOEESMM076,
3080,"CAJA R. DE TERUEL, S.C.C.",BCOEESMM080,
3081,"CAJA R. DE CASTILLA-LA MANCHA, S.C.C.",BCOEESMM081,
3085,"CAJA R. DE ZAMORA, C.C.",BCOEESMM085,
3089,CAJA R. BAENA NTRA. SRA. GUADALUPE S.C.C.A.,BCOEESMM089,
3096,"CAIXA R. DE L'ALCUDIA, S.C.V.C.",BCOEESMM096,
3098,"CAJA R. NTRA. SRA. DEL ROSARIO, S.C.A.C.",BCOEESMM098,
3102,"CAIXA R. S. VICENT FERRER DE LA VALL D'UIXO,C.C.V.",BCOEESMM102,
3104,"CAJA R. DE CAÑETE TORRES NTRA.SRA.DEL CAMPO,S.C.A.",BCOEESMM104,
3110,"CAJA R. CATOLICO AGRARIA, S.C.C.V.",BCOEESMM110,
3111,"CAIXA R. LA VALL 'S. ISIDRO', S.C.C.V.",BCOEESMM111,
3113,CAJA R. S. JOSE DE ALCORA S.C.C.V.,BCOEESMM113,
3115,"CAJA R. 'NUESTRA MADRE DEL SOL', S.C.A.C.",BCOEESMM115,
3116,"CAJA R. COMARCAL DE MOTA DEL CUERVO, S.C.L.C.A.",BCOEESMM116,
